Brand,Channel,MerchantId,MerchantName,MerchantUrl,Priority,Synonym,Staging (Mostly),Setup
Ugreen,Shopee,1082522935,UGREEN Indonesia,https://shopee.co.id/ugreen.indonesia,2,ugreen,"Audio, Computer, Electronics, Smartphone",2025-01-01
Ugreen,Tokopedia,13569211,UGREEN Official Store,https://www.tokopedia.com/ugreenofficialstore,2,ugreen,"Audio, Computer, Electronics, Smartphone",2025-01-01
Ultima Ii,Lazada,1000144341,ULTIMA II,https://www.lazada.co.id/shop/profileVm?sellerId=1000144341&shopId=637004&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,ultima ii,"Beauty, PersonalCare",2025-03-24
Ultima Ii,Lazada,1000144341,ULTIMA II,https://www.lazada.co.id/shop/profileVm?sellerId=1000144341&shopId=637004&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,ultima ii,"Beauty, PersonalCare",2025-03-24
Ultima Ii,Tiktok,7494878117504846006,ULTIMA II ID,aweme://user/profile/7494878117504846006,2,ultima ii,"Beauty, PersonalCare",2025-03-24
Ultima Ii,Tiktok,7494878117504846006,ULTIMA II ID,aweme://user/profile/7494878117504846006,2,ultima ii,"Beauty, PersonalCare",2025-03-24
Ultima Ii,Shopee,152254718,ULTIMA II Official Shop,https://shopee.co.id/shop/152254718,2,ultima ii,"Beauty, PersonalCare",2025-03-24
Ultima Ii,Shopee,152254718,ULTIMA II Official Shop,https://shopee.co.id/shop/152254718,2,ultima ii,"Beauty, PersonalCare",2025-03-24
Uphome,Tokopedia,12611515,UPHOME Official Shop,https://www.tokopedia.com/uphomeofficialshop,2,uphome,"Beauty, PersonalCare",2025-03-24
Uphome,Shopee,607095329,UPHOME Official Shop,https://shopee.co.id/uphomeofficialshop,2,uphome,"Audio, Computer, Electronics, Smartphone",2025-01-01
Usams,Tokopedia,8102677,USAMS ID,https://www.tokopedia.com/usamsid,2,usams,"Audio, Computer, Electronics, Smartphone",2025-01-01
Usams,Tokopedia,9843521,USAMS ID Official,https://www.tokopedia.com/usamsidofficial,2,usams,"Audio, Computer, Electronics, Smartphone",2025-01-01
Usams,Shopee,50248646,USAMS Indonesia Official Shop,https://shopee.co.id/usamsindonesia,2,usams,"Audio, Computer, Electronics, Smartphone",2025-01-01
Usams,Tokopedia,13893891,USAMS Official Store ID,https://www.tokopedia.com/usamsofficial,2,usams,"Audio, Computer, Electronics, Smartphone",2025-01-01
Usams,Tiktok,7493997483588880287,USAMSID,aweme://user/profile/7493997483588880287,2,usams,"Audio, Computer, Electronics, Smartphone",2025-01-01
Usual,Shopee,289711633,USUAL Official Store,https://shopee.co.id/shop/289711633,2,usual,"Beauty, PersonalCare",2025-03-24
Ugreen,Tokopedia,11948838,Ugreen Official by Unicase,https://www.tokopedia.com/ugreenid,2,ugreen,"Audio, Computer, Electronics, Smartphone",2025-01-01
Ugreen,Tiktok,7494814012285291296,Ugreen.Indonesia,aweme://user/profile/7494814012285291296,2,ugreen,"Audio, Computer, Electronics, Smartphone",2025-01-01
Ultima Ii,Tokopedia,11872369,Ultima II Official Store,https://www.tokopedia.com/ultimaiiofficial,2,ultima ii,"Beauty, PersonalCare",2025-03-24
Ultima Ii,Tokopedia,11872369,Ultima II Official Store,https://www.tokopedia.com/ultimaiiofficial,2,ultima ii,"Beauty, PersonalCare",2025-03-24
Uneed,Tiktok,7494083371026384651,Uneed Indonesia,aweme://user/profile/7494083371026384651,2,uneed,"Audio, Computer, Electronics, Smartphone",2025-01-01
Uneed,Tokopedia,2099396,Uneed Indonesia,https://www.tokopedia.com/uneed-indonesia,2,uneed,"Audio, Computer, Electronics, Smartphone",2025-01-01
Uneed,Shopee,18856832,Uneed Indonesia Official Shop,https://shopee.co.id/uneedindonesia,2,uneed,"Audio, Computer, Electronics, Smartphone",2025-01-01
Vinero,Tokopedia,10722857,VINERO INDONESIA,https://www.tokopedia.com/vineroid,2,vinero,"Audio, Computer, Electronics, Smartphone",2025-01-01
Vivan,Tokopedia,5240061,VIVAN OFFICIAL SHOP,https://www.tokopedia.com/vivanofficial,2,vivan,"Audio, Computer, Electronics, Smartphone",2025-01-01
Vyatta,Tokopedia,4461487,VYATTA INDONESIA,https://www.tokopedia.com/vyattaid,2,vyatta,"Audio, Computer, Electronics, Smartphone",2025-01-01
Vyatta,Tiktok,7493990997214069910,VYATTA Indonesia,aweme://user/profile/7493990997214069910,2,vyatta,"Audio, Computer, Electronics, Smartphone",2025-01-01
Vyatta,Shopee,109623996,VYATTA Indonesia Official Shop,https://shopee.co.id/vyattaindonesia,2,vyatta,"Audio, Computer, Electronics, Smartphone",2025-01-01
